"NAME","NATIONALITY"
"roberto benigni","List_of_Italians"
"nino castelnuovo","List_of_Italians"
"tino caspanello","List_of_Italians"
"gino cervi","List_of_Italians"
"eduardo de filippo","List_of_Italians"
"manuel de peppe","List_of_Italians"
"vittorio gassman","List_of_Italians"
"elio germano","List_of_Italians"
"giancarlo giannini","List_of_Italians"
"terence hill","List_of_Italians"
"nino manfredi","List_of_Italians"
"marcello mastroianni","List_of_Italians"
"amedeo nazzari","List_of_Italians"
"alberto sordi","List_of_Italians"
"ugo tognazzi","List_of_Italians"
"totò","List_of_Italians"
"massimo troisi","List_of_Italians"
"rudolph valentino","List_of_Italians"
"carlo verdone","List_of_Italians"
"gian maria volonté","List_of_Italians"
"stefano accorsi","List_of_Italians"
"clara calamai","List_of_Italians"
"claudia cardinale","List_of_Italians"
"eleonora duse","List_of_Italians"
"virna lisi","List_of_Italians"
"gina lollobrigida","List_of_Italians"
"sophia loren","List_of_Italians"
"anna magnani","List_of_Italians"
"silvana mangano","List_of_Italians"
"mariangela melato","List_of_Italians"
"sandra milo","List_of_Italians"
"alida valli","List_of_Italians"
"monica vitti","List_of_Italians"
"monica bellucci","List_of_Italians"
"asia argento","List_of_Italians"
"ornella muti","List_of_Italians"
"valeria golino","List_of_Italians"
"chiara caselli","List_of_Italians"
"cocceius auctus","List_of_Italians"
"hyginus gromaticus","List_of_Italians"
"lucius vitruvius cordo","List_of_Italians"
"rabirius","List_of_Italians"
"vitruvius","List_of_Italians"
"guglielmo agnelli","List_of_Italians"
"pietro baseggio","List_of_Italians"
"bartolomeo bon","List_of_Italians"
"bertolino bragerio","List_of_Italians"
"jacopo celega","List_of_Italians"
"diotisalvi","List_of_Italians"
"maginardo","List_of_Italians"
"lorenzo maitani","List_of_Italians"
"leon battista alberti","List_of_Italians"
"galeazzo alessi","List_of_Italians"
"iacomo andrea","List_of_Italians"
"antonio da sangallo the elder","List_of_Italians"
"antonio da sangallo the younger","List_of_Italians"
"donato bramante","List_of_Italians"
"filippo brunelleschi","List_of_Italians"
"bernardo buontalenti","List_of_Italians"
"giacomo della porta","List_of_Italians"
"giovanni maria falconetto","List_of_Italians"
"filarete","List_of_Italians"
"domenico fontana","List_of_Italians"
"giacomo barozzi da vignola","List_of_Italians"
"francesco di giorgio","List_of_Italians"
"giuliano da maiano","List_of_Italians"
"giuliano da sangallo","List_of_Italians"
"luciano laurana","List_of_Italians"
"pirro ligorio","List_of_Italians"
"michelozzo","List_of_Italians"
"andrea palladio","List_of_Italians"
"baldassare peruzzi","List_of_Italians"
"michele sanmicheli","List_of_Italians"
"jacopo sansovino","List_of_Italians"
"vincenzo scamozzi","List_of_Italians"
"sebastiano serlio","List_of_Italians"
"francesco borromini","List_of_Italians"
"cosimo fanzago","List_of_Italians"
"carlo fontana","List_of_Italians"
"rosario gagliardi","List_of_Italians"
"guarino guarini","List_of_Italians"
"filippo juvarra","List_of_Italians"
"baldassarre longhena","List_of_Italians"
"carlo maderno","List_of_Italians"
"pietro da cortona","List_of_Italians"
"carlo rainaldi","List_of_Italians"
"francesco bartolomeo rastrelli","List_of_Italians"
"nicola salvi","List_of_Italians"
"giovanni battista vaccarini","List_of_Italians"
"luigi vanvitelli","List_of_Italians"
"nicola bettoli","List_of_Italians"
"luigi cagnola","List_of_Italians"
"luigi canina","List_of_Italians"
"antonio corazzi","List_of_Italians"
"alessandro galilei","List_of_Italians"
"giacomo leoni","List_of_Italians"
"giuseppe venanzio marvuglia","List_of_Italians"
"giovanni battista piranesi","List_of_Italians"
"giacomo quarenghi","List_of_Italians"
"carlo rossi","List_of_Italians"
"francesco sabatini","List_of_Italians"
"giuseppe valadier","List_of_Italians"
"franco albini","List_of_Italians"
"carlo aymonino","List_of_Italians"
"ernesto basile","List_of_Italians"
"achille castiglioni","List_of_Italians"
"giancarlo de carlo","List_of_Italians"
"ignazio gardella","List_of_Italians"
"adalberto libera","List_of_Italians"
"alessandro mendini","List_of_Italians"
"giovanni michelucci","List_of_Italians"
"carlo mollino","List_of_Italians"
"luigi moretti","List_of_Italians"
"giovanni muzio","List_of_Italians"
"marcello piacentini","List_of_Italians"
"renzo piano","List_of_Italians"
"giò ponti","List_of_Italians"
"paolo portoghesi","List_of_Italians"
"aldo rossi","List_of_Italians"
"giuseppe samonà","List_of_Italians"
"antonio sant'elia","List_of_Italians"
"carlo scarpa","List_of_Italians"
"ettore sottsass","List_of_Italians"
"manfredo tafuri","List_of_Italians"
"giuseppe terragni","List_of_Italians"
"vittorio gregotti","List_of_Italians"
"mario bellini","List_of_Italians"
"stefano boeri","List_of_Italians"
"martino da como","List_of_Italians"
"pellegrino artusi","List_of_Italians"
"carlo petrini","List_of_Italians"
"cesare antonio accius","List_of_Italians"
"pagolo arsago","List_of_Italians"
"sebastiano bianchi","List_of_Italians"
"alessandro della via","List_of_Italians"
"baldassare gabbugiani","List_of_Italians"
"enrico bernardi","List_of_Italians"
"giovanni branca","List_of_Italians"
"matteo campanialimenis","List_of_Italians"
"secondo campini","List_of_Italians"
"alessandro capra","List_of_Italians"
"giovanni battista caproni","List_of_Italians"
"mario castoldi","List_of_Italians"
"bernard castro","List_of_Italians"
"ettore bugatti","List_of_Italians"
"leonardo chiariglione","List_of_Italians"
"luigi negrelli","List_of_Italians"
"corradino d'ascanio","List_of_Italians"
"luigi emanueli","List_of_Italians"
"lorenzo allievi","List_of_Italians"
"federico faggin","List_of_Italians"
"enrico forlanini","List_of_Italians"
"francesco lana de terzi","List_of_Italians"
"leonardo da vinci","List_of_Italians"
"giovanni luppis","List_of_Italians"
"felice matteucci","List_of_Italians"
"antonio meucci","List_of_Italians"
"riccardo morandi","List_of_Italians"
"pier luigi nervi","List_of_Italians"
"camillo olivetti","List_of_Italians"
"pier giorgio perotto","List_of_Italians"
"giovanni battista piatti","List_of_Italians"
"ignazio porro","List_of_Italians"
"agostino ramelli","List_of_Italians"
"raffaele rossetti","List_of_Italians"
"germain sommeiller","List_of_Italians"
"juanelo turriano","List_of_Italians"
"antónio de noli","List_of_Italians"
"giovanni battista belzoni","List_of_Italians"
"john cabot","List_of_Italians"
"sebastian cabot","List_of_Italians"
"christopher columbus","List_of_Italians"
"henri de tonti","List_of_Italians"
"giovanni da pian del carpine","List_of_Italians"
"giovanni da verrazzano","List_of_Italians"
"alessandro malaspina","List_of_Italians"
"umberto nobile","List_of_Italians"
"antonio pigafetta","List_of_Italians"
"marco polo","List_of_Italians"
"pierre savorgnan de brazza","List_of_Italians"
"amerigo vespucci","List_of_Italians"
"romolo gessi","List_of_Italians"
"brighella","List_of_Italians"
"don camillo","List_of_Italians"
"juliet capulet","List_of_Italians"
"columbina","List_of_Italians"
