"Lakeview","List_of_Trinidadian_and_Tobagonian_Americans"
"South Floral Park","List_of_Trinidadian_and_Tobagonian_Americans"
"Mount Rainier","List_of_Trinidadian_and_Tobagonian_Americans"
"Orange","List_of_Trinidadian_and_Tobagonian_Americans"
"Brooklyn","List_of_Trinidadian_and_Tobagonian_Americans"
"Chillum","List_of_Trinidadian_and_Tobagonian_Americans"
"Roosevelt","List_of_Trinidadian_and_Tobagonian_Americans"
"Landover Hills","List_of_Trinidadian_and_Tobagonian_Americans"
"Langley Park","List_of_Trinidadian_and_Tobagonian_Americans"
"Riverdale Park","List_of_Trinidadian_and_Tobagonian_Americans"
"North Amityville","List_of_Trinidadian_and_Tobagonian_Americans"
"Neptune City","List_of_Trinidadian_and_Tobagonian_Americans"
"Cottage City","List_of_Trinidadian_and_Tobagonian_Americans"
"Bloomfield","List_of_Trinidadian_and_Tobagonian_Americans"
"McIntyre","List_of_Trinidadian_and_Tobagonian_Americans"
"Lakeview","List_of_Trinidadian_and_Tobagonian_Americans"
"South Floral Park","List_of_Trinidadian_and_Tobagonian_Americans"
"Palmetto Estates","List_of_Trinidadian_and_Tobagonian_Americans"
"Chula Vista","List_of_Trinidadian_and_Tobagonian_Americans"
"Orange","List_of_Trinidadian_and_Tobagonian_Americans"
"Boulevard Gardens","List_of_Trinidadian_and_Tobagonian_Americans"
"Gun Club Estates","List_of_Trinidadian_and_Tobagonian_Americans"
"Naranja","List_of_Trinidadian_and_Tobagonian_Americans"
"Mount Rainier","List_of_Trinidadian_and_Tobagonian_Americans"
"Brooklyn","List_of_Trinidadian_and_Tobagonian_Americans"
"Cheverly","List_of_Trinidadian_and_Tobagonian_Americans"
"Kendall Green","List_of_Trinidadian_and_Tobagonian_Americans"
"Orlo Vista","List_of_Trinidadian_and_Tobagonian_Americans"
"Blue Hills","List_of_Trinidadian_and_Tobagonian_Americans"
"Kareem Abdul Jabbar","List_of_Trinidadian_and_Tobagonian_Americans"
"Tatyana Ali","List_of_Trinidadian_and_Tobagonian_Americans"
"Cardi B","List_of_Trinidadian_and_Tobagonian_Americans"
"Gerry Bednob","List_of_Trinidadian_and_Tobagonian_Americans"
"Anthony Ian Berkeley","List_of_Trinidadian_and_Tobagonian_Americans"
"Mike Bibby","List_of_Trinidadian_and_Tobagonian_Americans"
"Foxy Brown","List_of_Trinidadian_and_Tobagonian_Americans"
"Steve Carter","List_of_Trinidadian_and_Tobagonian_Americans"
"Affion Crockett","List_of_Trinidadian_and_Tobagonian_Americans"
"Phife Dawg","List_of_Trinidadian_and_Tobagonian_Americans"
"Winston Duke","List_of_Trinidadian_and_Tobagonian_Americans"
"Antonio Juan Fargas","List_of_Trinidadian_and_Tobagonian_Americans"
"Fresh Kid Ice","List_of_Trinidadian_and_Tobagonian_Americans"
"Jackée Harry","List_of_Trinidadian_and_Tobagonian_Americans"
"Heather Headley","List_of_Trinidadian_and_Tobagonian_Americans"
"Trinidad Jame$","List_of_Trinidadian_and_Tobagonian_Americans"
"Lil Kim","List_of_Trinidadian_and_Tobagonian_Americans"
"Lil Mama","List_of_Trinidadian_and_Tobagonian_Americans"
"Theophilus London","List_of_Trinidadian_and_Tobagonian_Americans"
"Nia Long","List_of_Trinidadian_and_Tobagonian_Americans"
"The Mad Stuntman","List_of_Trinidadian_and_Tobagonian_Americans"
"Romany Malco","List_of_Trinidadian_and_Tobagonian_Americans"
"Nicki Minaj","List_of_Trinidadian_and_Tobagonian_Americans"
"Lola Monroe","List_of_Trinidadian_and_Tobagonian_Americans"
"Rajee Narinesingh","List_of_Trinidadian_and_Tobagonian_Americans"
"Karyn Parsons","List_of_Trinidadian_and_Tobagonian_Americans"
"Karlie Redd","List_of_Trinidadian_and_Tobagonian_Americans"
"Alfonso Ribeiro","List_of_Trinidadian_and_Tobagonian_Americans"
"Robert Christopher Riley","List_of_Trinidadian_and_Tobagonian_Americans"
"Arlette Roxburgh","List_of_Trinidadian_and_Tobagonian_Americans"
"Bobby Shmurda","List_of_Trinidadian_and_Tobagonian_Americans"
"Spliff Star","List_of_Trinidadian_and_Tobagonian_Americans"
"Sloane Stephens","List_of_Trinidadian_and_Tobagonian_Americans"
"Adande Thorne","List_of_Trinidadian_and_Tobagonian_Americans"
"Lorraine Toussaint","List_of_Trinidadian_and_Tobagonian_Americans"
"Jennifer Carroll","List_of_Trinidadian_and_Tobagonian_Americans"
"Mervyn M. Dymally","List_of_Trinidadian_and_Tobagonian_Americans"
"Anantanand Rambachan","List_of_Trinidadian_and_Tobagonian_Americans"
"Mike Bibby","List_of_Trinidadian_and_Tobagonian_Americans"
"Tina Charles","List_of_Trinidadian_and_Tobagonian_Americans"
"Ricardo Clark","List_of_Trinidadian_and_Tobagonian_Americans"
"Kerron Clement","List_of_Trinidadian_and_Tobagonian_Americans"
"Robbie Findley","List_of_Trinidadian_and_Tobagonian_Americans"
"Natasha Hastings","List_of_Trinidadian_and_Tobagonian_Americans"
"Kareem Abdul-Jabbar","List_of_Trinidadian_and_Tobagonian_Americans"
"Gabrielle Reece","List_of_Trinidadian_and_Tobagonian_Americans"
"Sybil Smith","List_of_Trinidadian_and_Tobagonian_Americans"
"Sloane Stephens","List_of_Trinidadian_and_Tobagonian_Americans"
"Kia Vaughn","List_of_Trinidadian_and_Tobagonian_Americans"
"Lauryn Williams","List_of_Trinidadian_and_Tobagonian_Americans"
"Stokely Carmichael","List_of_Trinidadian_and_Tobagonian_Americans"
"Reema Harrysingh-Carmona","List_of_Trinidadian_and_Tobagonian_Americans"
"Anya Ayoung-Chee","List_of_Trinidadian_and_Tobagonian_Americans"
"Larry Felix","List_of_Trinidadian_and_Tobagonian_Americans"
"Wayne A. I. Frederick","List_of_Trinidadian_and_Tobagonian_Americans"
"Daymond John","List_of_Trinidadian_and_Tobagonian_Americans"
"Courtney Lyder","List_of_Trinidadian_and_Tobagonian_Americans"
"Davan Maharaj","List_of_Trinidadian_and_Tobagonian_Americans"
"Ria Persad","List_of_Trinidadian_and_Tobagonian_Americans"
"Arnold Rampersad","List_of_Trinidadian_and_Tobagonian_Americans"
"Lakshmi Singh","List_of_Trinidadian_and_Tobagonian_Americans"
"Roger Toussaint","List_of_Trinidadian_and_Tobagonian_Americans"
"Lowell Yerex","List_of_Trinidadian_and_Tobagonian_Americans"
"Antiguan and Barbudan","List_of_Trinidadian_and_Tobagonian_Americans"
"Bahamian","List_of_Trinidadian_and_Tobagonian_Americans"
"Barbadian","List_of_Trinidadian_and_Tobagonian_Americans"
"Belizean","List_of_Trinidadian_and_Tobagonian_Americans"
"Garifuna","List_of_Trinidadian_and_Tobagonian_Americans"
"Bermudian","List_of_Trinidadian_and_Tobagonian_Americans"
"Dominican (Dominica)","List_of_Trinidadian_and_Tobagonian_Americans"
"Grenadian","List_of_Trinidadian_and_Tobagonian_Americans"
"Guyanese","List_of_Trinidadian_and_Tobagonian_Americans"
"Jamaican","List_of_Trinidadian_and_Tobagonian_Americans"
"Kittian and Nevisian","List_of_Trinidadian_and_Tobagonian_Americans"
"Saint Lucian","List_of_Trinidadian_and_Tobagonian_Americans"
"Vincentian","List_of_Trinidadian_and_Tobagonian_Americans"
"Puerto Rican","List_of_Trinidadian_and_Tobagonian_Americans"
"Virgin Islands","List_of_Trinidadian_and_Tobagonian_Americans"
"Haitian","List_of_Trinidadian_and_Tobagonian_Americans"
"Guadeloupean","List_of_Trinidadian_and_Tobagonian_Americans"
"Martiniquan","List_of_Trinidadian_and_Tobagonian_Americans"
"Cuban","List_of_Trinidadian_and_Tobagonian_Americans"
"Dominican (Dominican Republic)","List_of_Trinidadian_and_Tobagonian_Americans"
"Panamanian","List_of_Trinidadian_and_Tobagonian_Americans"
"Puerto Rican","List_of_Trinidadian_and_Tobagonian_Americans"
"Dutch West Indians","List_of_Trinidadian_and_Tobagonian_Americans"
"Surinamese","List_of_Trinidadian_and_Tobagonian_Americans"
"Indo-Caribbean Americans","List_of_Trinidadian_and_Tobagonian_Americans"
"Affluence","List_of_Trinidadian_and_Tobagonian_Americans"
"Educational attainment","List_of_Trinidadian_and_Tobagonian_Americans"
"Emigration","List_of_Trinidadian_and_Tobagonian_Americans"
"Home-ownership","List_of_Trinidadian_and_Tobagonian_Americans"
"Household income","List_of_Trinidadian_and_Tobagonian_Americans"
"Immigration","List_of_Trinidadian_and_Tobagonian_Americans"
"Income inequality","List_of_Trinidadian_and_Tobagonian_Americans"
"Language","List_of_Trinidadian_and_Tobagonian_Americans"
"LGBT","List_of_Trinidadian_and_Tobagonian_Americans"
"Middle classes","List_of_Trinidadian_and_Tobagonian_Americans"
"Personal income","List_of_Trinidadian_and_Tobagonian_Americans"
"Poverty","List_of_Trinidadian_and_Tobagonian_Americans"
"Social class","List_of_Trinidadian_and_Tobagonian_Americans"
"Unemployment by state","List_of_Trinidadian_and_Tobagonian_Americans"
"Wealth","List_of_Trinidadian_and_Tobagonian_Americans"
"Baha'is","List_of_Trinidadian_and_Tobagonian_Americans"
"Buddhists","List_of_Trinidadian_and_Tobagonian_Americans"
"Christians","List_of_Trinidadian_and_Tobagonian_Americans"
"Catholics","List_of_Trinidadian_and_Tobagonian_Americans"
"Coptics","List_of_Trinidadian_and_Tobagonian_Americans"
"Mormons","List_of_Trinidadian_and_Tobagonian_Americans"
"Protestants","List_of_Trinidadian_and_Tobagonian_Americans"
"Hindus","List_of_Trinidadian_and_Tobagonian_Americans"
"Jains","List_of_Trinidadian_and_Tobagonian_Americans"
"Jews","List_of_Trinidadian_and_Tobagonian_Americans"
"Muslims","List_of_Trinidadian_and_Tobagonian_Americans"
"Ahmadiyyas","List_of_Trinidadian_and_Tobagonian_Americans"
"Five Percenters","List_of_Trinidadian_and_Tobagonian_Americans"
"Moorish Scientists","List_of_Trinidadian_and_Tobagonian_Americans"
"Nation of Islam","List_of_Trinidadian_and_Tobagonian_Americans"
