"David Hostetler","List_of_Amish_and_their_descendants"
"Henry Lapp","List_of_Amish_and_their_descendants"
"Aaron and Abner Zook","List_of_Amish_and_their_descendants"
"Solomon DeLong","List_of_Amish_and_their_descendants"
"Joseph Donnermeyer","List_of_Amish_and_their_descendants"
"Joseph Funk","List_of_Amish_and_their_descendants"
"John A. Hostetler","List_of_Amish_and_their_descendants"
"Donald Kraybill","List_of_Amish_and_their_descendants"
"Joseph Yoder","List_of_Amish_and_their_descendants"
"Mose Gingerich","List_of_Amish_and_their_descendants"
"Kate Stoltzfus","List_of_Amish_and_their_descendants"
"Verne Troyer","List_of_Amish_and_their_descendants"
"Stephen Beachy","List_of_Amish_and_their_descendants"
"Julia Kasdorf","List_of_Amish_and_their_descendants"
"Christmas Carol Kauffman","List_of_Amish_and_their_descendants"
"Beverly Lewis","List_of_Amish_and_their_descendants"
"Helen Reimensnyder Martin","List_of_Amish_and_their_descendants"
"Lorin Morgan-Richards","List_of_Amish_and_their_descendants"
"Sarah Price","List_of_Amish_and_their_descendants"
"John D. Roth","List_of_Amish_and_their_descendants"
"Stephen Scott","List_of_Amish_and_their_descendants"
"Moses M. Beachy","List_of_Amish_and_their_descendants"
"Harold S. Bender","List_of_Amish_and_their_descendants"
"John S. Coffman","List_of_Amish_and_their_descendants"
"Heinrich Funck","List_of_Amish_and_their_descendants"
"John F. Funk","List_of_Amish_and_their_descendants"
"Hans Herr","List_of_Amish_and_their_descendants"
"Guy Hershberger","List_of_Amish_and_their_descendants"
"Alan Kreider","List_of_Amish_and_their_descendants"
"Gerald Miller","List_of_Amish_and_their_descendants"
"Elmo Stoll","List_of_Amish_and_their_descendants"
"Sanford Calvin Yoder","List_of_Amish_and_their_descendants"
"Wes Yoder","List_of_Amish_and_their_descendants"
"Tripp York","List_of_Amish_and_their_descendants"
"Anne F. Beiler","List_of_Amish_and_their_descendants"
"Jacob Hochstetler","List_of_Amish_and_their_descendants"
"Jeff Hostetler","List_of_Amish_and_their_descendants"
"Nellie Miller-Mann","List_of_Amish_and_their_descendants"
"Jerome Monroe Smucker","List_of_Amish_and_their_descendants"
"Gene Stoltzfus","List_of_Amish_and_their_descendants"
"Carl Yoder","List_of_Amish_and_their_descendants"
"Jakob Ammann","List_of_Amish_and_their_descendants"
"Hans Reist","List_of_Amish_and_their_descendants"
